edge_type_id target_query source_query target_sections distance_range syn_weight model_template dynamics_params
100 pop_name=='CA3e' pop_name=='CA3o' ['soma'] "[0.0, 300.0]" 1 inter2pyr CA3o2CA3e.inh.json
101 pop_name=='CA3o' pop_name=='CA3e' ['soma'] "[0.0, 300.0]" 1 pyr2pyr CA3e2CA3o.exc.json
